transaction_hash,transaction_time,from_address,to_address,amount
0x64f2ea2e8a4c6a19c769fa55e7eba588bc1518f190446715a8d4270fcdb30cbb,2024-06-27 22:44:24.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0xb20955c98ff1ffe474e9c49cc881688665b9ef34,0.137494606
0xbc3d2e37d34162b55ce1ee48ee83e9dcdcd01449b8a7da9ccfd5161f80ff0e3b,2024-07-31 19:08:03.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xbf122c55d7e923a7492099ec504611231695fada,7.726061161
0x92ce7571d3aeb5a8360fd29157c9787d096cb68e4e3c670739cdd837ee9c9a7e,2024-07-13 11:50:43.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x7b23b3dec07f3d597be69507dec2495a1d8928e7,114.4961455
0x9a3f37af7cb79763070eddc1807f9eba28568d4d484d1486e00599b0ab474b1e,2024-07-18 08:14:28.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x48a34d50242523ae867500b2c6acb4b22a55021d,1.942948134
0x3752a698ec2a42d6f8faac385e7f48fdc41874e030c5c6aa1a4eb7556d02fb41,2024-07-18 08:15:52.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x48a34d50242523ae867500b2c6acb4b22a55021d,8.181067148
0xbb2e608ff045089ac8778b7bdcd762bf3b9fc01ca1d0bc6dfdf7261bf681b125,2024-07-10 03:39:27.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x5dca817c0386f5095042d8f67565d554a6f4c719,202.1288839
0xca859daa99ed1c2f7fc46ad9532be39d68eb9365128da8b46cefb80259eb9c6c,2024-07-20 23:57:35.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x1b648ade1ef219c87987cd60eba069a7faf1621f,20.76241977
0x4d700466cfeef5505c619623b3a4ee5681c527225939c99792b8aaca51a19edc,2024-06-22 01:18:57.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xefdb09ed95cbd86a977f4d24f4bf3a2d7b45e1ac,110.017924
0x75ce8186264c16c4f8af546c30d5bfb99239291cc9a4c7b34aee9231d2fa2063,2024-07-31 09:11:14.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x5877022fe1a776e5275ed535b50d83a69634089c,10.40315091
0x08bdf39b8617a6275367ef9cf93fc67f8200a9d7ab54905c7c7dfda987ed018a,2024-07-31 09:20:00.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x7b23b3dec07f3d597be69507dec2495a1d8928e7,49.77258213
0x113e72db4d617b1a2d59ea2504a08fa51c9dd4c5613fba61b8a0b4b93a649c40,2024-07-31 09:59:01.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0xeafaede1ab373bfa04a050d65a1fcddc8ad3204c,12.16495705
0x167c0aef95cf79026fc34bc919b2ccd4c1f9aab9201e6834c77227fc1c92f03a,2024-07-31 10:09:00.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x48a34d50242523ae867500b2c6acb4b22a55021d,18.34581584
0x0f85f96082f3e30c3d96b799131265e3b153a5fe37f9019c822e17287fde0e12,2024-07-04 12:34:47.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xbf122c55d7e923a7492099ec504611231695fada,29.9610162
0x19af6b34f3ecee50ecb3e428c5ff0725cd5f006021e14067c0e0ce3c5f795529,2024-07-04 13:12:39.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x48a34d50242523ae867500b2c6acb4b22a55021d,14.32353178
0x4a1f2d51f25e7a96fc677aa9848cd37f833deb432358d27f9854e81af6a7bc25,2024-07-07 02:21:30.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xefdb09ed95cbd86a977f4d24f4bf3a2d7b45e1ac,7.158182453
0x90c7d1021263a11aa94c95b4fc6a971571d6d31256f3e6e00f198bba91728b79,2024-07-03 15:04:52.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xca0fab402858376fff5036bd7111003c421734ef,3.020815017
0x1ce59869ebdabe62080021f7330aea9adfd754274391ec3a316266563c5ad37f,2024-06-20 10:56:07.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x5eadc7b7c89f8f5b9831d0c9b2f568d0e07fe381,0.414285007
0xfc0e53d76eb6528b9616ef905ee60c204bf310b475c2920545becf7e26d2c1d3,2024-07-26 14:47:14.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x2e99ba5e28dea4ae45aa958ca9b44f6591974842,58.66733158
0x7e515a8e7a9f6336f0394f91f5e3f858e0280acb9eca1d989f5b72086e212c4b,2024-07-10 11:50:31.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x5877022fe1a776e5275ed535b50d83a69634089c,7.2457121
0xacba00100207be2d584de64ff1f6138096a44b8f776a132a22c7c54dd050241d,2024-07-16 08:50:17.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x474017bfc7a692782c41dd01fe437823c3aa4a85,27.71147131
0xbd8fdc889dc4ff780f9beef116c2c11a01881bc7b9ace980023c71a04431f30b,2024-07-16 10:43:39.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x12cda3e710b5c08e5fc771f23c3bc43f7351337b,2.172487394
0x0a7092e4c9f3c61b8418e14ce452c3ca88030610139fd7773dc1abc87d7393f8,2024-07-16 10:44:12.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x12cda3e710b5c08e5fc771f23c3bc43f7351337b,45.58667315
0x19fde0cee491ff62caea14e7804ea0f347851d2951d3db636696b2e25ffa691a,2024-07-26 03:49:24.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x34b2e4cc56b7160d86951310b7351e7983842a9a,329.1526253
0xb1344064e730e9cda992680d41d035522cbc341c87690bdadcf9e54bbeeac6b1,2024-07-26 03:49:33.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0xa4fc1516a78bb510b41c18393d113a0a5e7387ab,682.9180053
0xeefa63ecb69172ec07db705a974dc0317435ecbdac28321efb0d666f133df780,2024-07-26 03:50:11.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x5dca817c0386f5095042d8f67565d554a6f4c719,239.0425339
0xc1089fd88213a09bad5c02c72912104a60eaf9320c820ea171bdfc1fbd217592,2024-07-26 04:21:43.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x9c323352bd5f6b4c7496cc8f2ffe2068ce755273,10.45719224
0xfa897035be7577ede7b10a74bb75c473836b80f074a99a34a00aacde52dddebf,2024-07-17 10:39:13.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x12fbe0cc45b4e820c65341c30ed57ba929377468,4.79809986
0xe99220692f4a2abd43bee81dc7f1f1be6b425317ed2dccdf000b61dd386feb09,2024-07-17 10:55:50.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x90160ae7b93d999bdcbddd5064eec787dc63fe3c,27.02613615
0xf4ba526ca8402805f896ed686a4d00878bdc046562a32ea41e96b04601a58e11,2024-07-24 19:32:13.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x7b23b3dec07f3d597be69507dec2495a1d8928e7,84.78001182
0x2890cc4347d3feea1cb0ab780f4d37a9b417bafbe0b46f48578e24c596811a81,2024-07-24 20:27:41.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x7365c8fb3566012fcefa8f311f1802302dcc09a4,26.29021054
0x9979891b6de34384f856f061829e985b0288d6e56066794ec8c64d713deb529c,2024-07-24 22:26:24.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x5877022fe1a776e5275ed535b50d83a69634089c,11.39226866
0x28bde5717e058d689fd95df61fb6bb7ccbecfcb2b48595f17e0b2f7a17bd15cc,2024-06-22 12:05:14.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xb5ea1797637256ee874d2c524740ed829c0521db,3.792003222
0x25d3a47eca42d7ea42906e894c0c588e1b101f5e9acf851a093eaec6ad691260,2024-07-30 11:21:36.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x48a34d50242523ae867500b2c6acb4b22a55021d,18.25892253
0x2a8b4163ae94f92da22d1388bd372d1ae8b7b3f654d9f642ff2eac6b785be508,2024-06-20 06:25:41.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0x9d6f305070e011b377b0fca73c6f9dcad6fa0dc0,65.40116933
0x6ceac218a308b375dc29eae77eb5eeec53c0ebb631cfdc0e6faa72ba8cea439b,2024-06-14 09:07:14.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xbbb02830912e18d6663b03d5cc96264ca16095d9,40.53782854
0xee347c00a5df7f2d45379b82117d271114777ddc21a51eb49ac997ba4c0e8464,2024-07-23 00:40:17.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0x93178175afd4d626e7e760e591ba46e6f5228353,2.583868352
0xf7665005fed95676afa9e8283a0d9fa88a12e77d56f256737190b17be27fb01c,2024-07-23 02:27:05.000 UTC,0x3e8f96165344f1324db58e159f353504014e183d,0xb1c404f61432d7ce42516655bb0b0b4189631d41,0.767128536
0x52f27b29bdac843276adf74f72fdd3a6fc8097d3b4aa0c7061b4f13b68395841,2024-07-18 17:19:19.000 UTC,0x53c8bf6875c66e8d7c42e30beef7e6241997f7e3,0xc6e39d020b4974a7be543e6b8b501edcf28f1856,17.31280407
