transaction_hash,transaction_time,from_address,to_address,amount
0x2e1010245c5eaf9811e64e831d60cf623653dbfdcbbca09fca0cc5385cd13b8a,2024-07-20 21:54:27.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0x6533afac2e7bccb20dca161449a13a32d391fb00,269.2270973
0x74a5d18356586f5697f71a2f3031704a0f33c7ce7ebd2dbc38b786461a21dd56,2024-07-15 21:14:53.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,165.003073
0xef9cf67f8a0750410d7cd5b547819f9ccf8105004713867362e5ddb5880647f0,2024-07-19 02:30:20.000 UTC,0x239a290e002d3e6057ba78f28e7b9567c6b737b4,0xc09f4ad33a164e29df3c94719ffd5f7b5b057781,134.4263136
0x9a60db7ad0c71369e57f883bd91e12e56011274f002526a8d9d8093ef31ed1e0,2024-07-01 17:13:44.000 UTC,0x77fc6e36d82010b2263b76959720e9ee2c947467,0x9008d19f58aabd9ed0d60971565aa8510560ab41,443
0x49dfd7eb7ab6a022abc7f5400f41e49da99158a7a718633623f79484431b3c13,2024-07-20 02:08:07.000 UTC,0x869921f41af38fe397c8309d3d1885809508b723,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,6.191909961
0xbca086edecad6803640f672ebb20fd4446cf16e4b3b55be65966a3c4c5e0a1ee,2024-07-22 00:02:09.000 UTC,0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,0x9008d19f58aabd9ed0d60971565aa8510560ab41,35
0x7ef6c6d571df9ba7a9e8bd15b37ee730ea4495ace890bf28433a5710a532a5ee,2024-07-22 00:58:12.000 UTC,0x869921f41af38fe397c8309d3d1885809508b723,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,12.87699351
0x2e6ac09a879b84713548075fc98115f418b5e39edeba98a48920dba4291935eb,2024-07-22 01:09:33.000 UTC,0x80e6c132a29db5de2e61f0e2ea3ba29a573a383b,0x6533afac2e7bccb20dca161449a13a32d391fb00,100
0x7e292b78fe6345177597266903f846afdc621e0bebed87ca80b1baeda51d44b2,2024-07-05 01:12:52.000 UTC,0x80e6c132a29db5de2e61f0e2ea3ba29a573a383b,0xf59369f467dc303a392192f7e6a36677578b5c7d,47
0xff8ba654cf1c8f963a0959bbf45dd4c6c9dab58548427ed0a0a12a460a4793c1,2024-07-31 08:53:27.000 UTC,0x6f614a8f8e1d1fbacc86d14371ff557db491270d,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,13.14962647
0x4058b2b77e5647da483839281a1137a19aa30457f63b31bb307c2e5d7817dfdb,2024-07-18 08:24:47.000 UTC,0x6f614a8f8e1d1fbacc86d14371ff557db491270d,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,7.757195997
0x7577c479527a9c4847add2b797b713a615d92c58b1f8dfdaad70c1a6a475702e,2024-07-12 06:40:53.000 UTC,0x737051bd823887d5128a724688bc5108e91d11be,0xe05dd51e4eb5636f4f0e8e7fbe82ea31a2ecef16,14.62882462
0x6543f696fdf485090d0921b48a315ce048264b715c7dd6bbd66853a9afe6a254,2024-07-18 08:08:50.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0x6533afac2e7bccb20dca161449a13a32d391fb00,795.8939212
0x63309d4d7a35151878a95b3b3db8c2c3effeadfab31322a3a0b278ff45950f7a,2024-07-12 11:29:38.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,194.1965951
0xc6d1398f9ce1677a9d8c215e0d77d7c3f9317d12cfb8ab7ce4c97340e8548854,2024-07-18 13:42:18.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,411.9427754
0xb2b768a6831ce7f8425e6e0c1ab077166f3d3c2113d122554162263bee752dde,2024-07-29 16:27:46.000 UTC,0x0e7518b332f469a6a2f59e690f225cef5157cca9,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,924.483
0x2e293c8d6acfb5cf4776687470c363d9840929ebd7fa23696e2bdd4d3eec13fc,2024-06-27 01:15:08.000 UTC,0x0e7518b332f469a6a2f59e690f225cef5157cca9,0xb0f6ca40411360c03d41c5ffc5f179b8403cdcf8,41.81637396
0x4b4d8127378c61daddc41cfa551924e56c57f43a9d2bbec5a3288c9ec5242619,2024-07-18 21:40:27.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0x769728b5298445ba2828c0f3f5384227fbf590c5,858.95206
0xa8aace7deacefd26cd4f1e08b7efed9aff569ff3df6a5f2427a3e43291e735ee,2024-07-23 20:11:07.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0xcda53b1f66614552f834ceef361a8d12a0b8dad8,263.6348114
0x7b4df7eb048858a5404983c93924999094a0677809d595b3640d501f537af9d2,2024-07-08 20:23:04.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,366.0135801
0x5972fa43968603136fa939ed06c6818ef72cef3db9d45cd07181da1dfe1de7c1,2024-07-08 21:29:40.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0x5f0000d4780a00d2dce0a00004000800cb0e5041,3000
0x5ce00ba3f8ef0e50b6c6c9a7eb3f884da5647ed4c074ca2e907e89d380fbc653,2024-07-06 02:39:50.000 UTC,0x016700997d3b1cd7cfd8faef9b2d7cdd3a8b2d3f,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2.385295374
0x570e375b1cb442d83f90c96aaf038ff5f44b2482518ffd38e66bc02f2650a7b7,2024-07-02 19:21:07.000 UTC,0x657975e1edd5593977695426ab393203451bc8d6,0x6533afac2e7bccb20dca161449a13a32d391fb00,345.8385786
0x678b97bf9896d89ccb88c5533d37129a0984531e49e144a0150305652975bf36,2024-07-01 21:54:41.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x786d11f4c8b17c5aa9f77bbd1e5ed3e4dab60701,327.6853899
0xe9c05efa949cb3189434961e5370c22eb38d98a8d86b2863c017f145514927b2,2024-07-01 21:56:30.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x786d11f4c8b17c5aa9f77bbd1e5ed3e4dab60701,157.3371817
0xfcc065ce95573ad21a52667bff701b092eb14690b901118c0cdfa08db3f5ad9f,2024-07-01 22:04:18.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x786d119f6f62a9a606e85045e95a0458684b0701,0
0xfcc065ce95573ad21a52667bff701b092eb14690b901118c0cdfa08db3f5ad9f,2024-07-01 22:04:18.000 UTC,0xe6a2971646175af2444c05ec1b635072820621a1,0x786d119f6f62a9a606e85045e95a0458684b0701,0
0xaeb8ffd000fad29c444dab2960d03fe78c96fcd3aba615207a38450b2b4109b6,2024-07-20 15:17:42.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,44.92271262
0x222205e27695be99fdaea64ea2a8a4c8e0cde13896720de465cc22db35b2c31c,2024-07-20 17:27:38.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.29907243
0xd0f5b2c1cadbf8d8fe14dc05c740ca7a2c10f6491293d74d7ddcacffa54e6584,2024-07-20 19:37:38.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.32279117
0xa8cfe2765f16cb6a13a64b26780e1d539b4160407de05214d44e805cc19ee4b0,2024-07-20 21:47:39.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.32907699
0x1781d48af4d286ed0e6c530a1d1da878f085f9344e3aa117dcdc951574f84ecd,2024-07-21 02:32:45.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.09940563
0x82792e564cd494b024b22e99849fe3731d634f698903907eaa29c5e4dc6147f2,2024-07-21 04:00:37.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,44.92072912
0x363f1ddc0b2b9b3bb0554876bcfe4d763e5161d3cbcd11ed31a379b692249ac0,2024-07-21 05:29:33.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.46630746
0x6b9fa4cf79eb8b2994682f501e7b3752a886b440731b24a7456cc2866586fe3d,2024-07-21 06:58:36.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.52621301
0x72a77880fab31734361797a109d10750cc275effd455a8a2a6aad7ba0e7f97a4,2024-07-21 08:27:40.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.53696616
0x1b8b12f1207761a0274a2c6a95daee9902cb1599185a2a378a2069cd3a7045e3,2024-07-21 09:55:37.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,44.97431295
0x0894bc760dd85fa584bf77f670e79066d06d7f5399dd8e0b729088be3f866c2e,2024-07-21 11:23:37.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,44.99953383
0x43b8bb6a5a125750641d58f7e038528f0dc3dddfc63a617ae138db4f77e271ea,2024-07-21 12:52:39.000 UTC,0xad5db17b44506785931dbc49c8857482c3b4f622,0x073d23ce4c1e6dbe62621f7b75706bd7594e4a1f,45.49497991
